Newtonbrook West,36,4.7,23050,4904.255319,0.014814295,0,0.003151978,
Rustic,28,2.1,9950,4738.095238,0.098698665,3692,0.046999364,
Kennedy Park,124,3.6,17050,4736.111111,0.025782697,0,0.00716186,
Lawrence Park South,103,3.2,15075,4710.9375,0.061520785,1092,0.019225245,
Lambton Baby Point,114,1.7,7920,4658.823529,0.144315022,135026,0.084891189,
Parkwoods-Donalda,45,7.5,34620,4616,2.567218437,92338,0.342295792,
Rosedale-Moore Park,98,4.6,20635,4485.869565,0.066166444,1156,0.01438401,
Woburn,137,12.2,53350,4372.95082,0.005829924,27906,0.000477863,
Forest Hill South,101,2.5,10925,4370,0.03884142,0,0.015536568,
Rockcliffe-Smythe,111,5.1,22270,4366.666667,0.17939058,558,0.035174624,
Henry Farm,53,2.6,11340,4361.538462,0.361737869,4819,0.13912995,
Kingsview Village-The Westway,6,5.1,21725,4259.803922,0.078001154,6067,0.015294344,
Bedford Park-Nortown,39,5.5,23185,4215.454545,0.016534602,4259,0.003006291,
Rexdale-Kipling,4,2.5,10485,4194,0.45833344,43033,0.183333376,
Long Branch,19,2.3,9630,4186.956522,0.039249551,156,0.017065022,
Agincourt North,129,7.3,30280,4147.945205,1.832356973,0,0.251007805,
High Park-Swansea,87,5.3,21750,4103.773585,0.058883025,0,0.011110005,
Maple Leaf,29,2.5,10195,4078,0.012453777,1363,0.004981511,
Dorset Park,126,6,24360,4060,0.09520802,109791,0.015868003,
Newtonbrook East,50,4.1,16425,4006.097561,0.036219298,123,0.008833975,
Old East York,58,2.3,9115,3963.043478,0.126546218,0,0.055020095,
Willowridge-Martingrove-Richview,7,5.5,21345,3880.909091,0.236699059,10190,0.043036193,
Mimico,17,6.9,26550,3847.826087,0.064319715,4502,0.009321698,
Humber Heights-Westmount,8,2.8,10580,3778.571429,0.11249685,188,0.040177446,
Bendale,127,7.4,27870,3766.216216,0.173001423,575,0.023378571,
O'Connor-Parkview,54,4.9,18315,3737.755102,0.02470925,0,0.005042704,
Victoria Village,43,4.7,17180,3655.319149,0.793670753,0,0.168866118,
Birchcliffe-Cliffside,122,6,21860,3643.333333,0.087790047,446,0.014631675,
Beechborough-Greenbrook,112,1.8,6490,3605.555556,0.127074744,0,0.07059708,
Humbermede,22,4.4,15850,3602.272727,0.120135194,691,0.027303453,
Markland Wood,12,2.9,10435,3598.275862,0.108893972,73,0.037549646,
Leaside-Bennington,56,4.8,17010,3543.75,0.193230593,1,0.040256374,
Kingsway South,15,2.6,9175,3528.846154,0.047800447,248,0.018384787,
Clanton Park,33,4.2,14610,3478.571429,0.040585045,202,0.009663106,
Bayview Village,52,5.2,17675,3399.038462,0.223360898,0,0.042954019,
Clairlea-Birchmount,120,7.4,24775,3347.972973,0.049076804,0,0.006632001,
Hillcrest Village,48,5.3,17650,3330.188679,0.079464109,2611,0.014993228,
Bayview Woods-Steeles,49,4.1,13535,3301.219512,0.029773559,0,0.007261844,
Elms-Old Rexdale,5,2.9,9550,3293.103448,0.135732361,2750,0.046804262,
Bathurst Manor,34,4.8,15435,3215.625,0.552890991,653,0.115185623,
Morningside,135,5.6,17585,3140.178571,0.207527138,3911,0.037058418,
Stonegate-Queensway,16,7.9,24690,3125.316456,0.240153499,96336,0.030399177,
New Toronto,18,3.5,10905,3115.714286,0.440985674,0,0.125995907,
Thistletown-Beaumond Heights,3,3.4,10140,2982.352941,0.672325001,156,0.197742647,
Milliken,130,9.4,27160,2889.361702,0.450219119,2596,0.047895651,
Agincourt South-Malvern West,128,7.9,21990,2783.544304,0.598731588,251,0.075788809,
West Hill,136,9.6,26550,2765.625,0.348352702,0,0.03628674,
Edenbridge-Humber Valley,9,5.5,14945,2717.272727,0.47116816,50349,0.085666938,
Lansing-Westgate,38,5.4,14640,2711.111111,0.418068747,445019,0.077420138,
Banbury-Don Mills,42,10,26910,2691,0.25345683,416,0.025345683,
